,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
5102,5102,-0.5497835497835498,-0.6077586206896551,-0.05797507090610532,11.0,2023-07-07 19:49:40.276738,2023-07-07 19:49:40.331655,0 days 00:00:00.054917,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,90,101,COMPLETE
4901,4901,-0.5497737556561086,-0.5732758620689655,-0.023502106412856882,7.0,2023-07-07 19:23:41.827509,2023-07-07 19:23:41.879335,0 days 00:00:00.051826,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,95,97,COMPLETE
5207,5207,-0.5497737556561086,-0.5775862068965517,-0.02781245124044307,8.0,2023-07-07 20:03:39.023558,2023-07-07 20:03:39.078375,0 days 00:00:00.054817,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,95,103,COMPLETE
4839,4839,-0.5497737556561086,-0.5905172413793104,-0.040743485723201744,5.0,2023-07-07 19:15:54.892389,2023-07-07 19:15:54.948203,0 days 00:00:00.055814,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,95,96,COMPLETE
5239,5239,-0.5497737556561086,-0.5689655172413793,-0.019191761585270695,7.0,2023-07-07 20:07:57.275905,2023-07-07 20:07:57.327731,0 days 00:00:00.051826,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,95,104,COMPLETE
3793,3793,-0.5497737556561086,-0.5818965517241379,-0.03212279606802926,5.0,2023-07-07 17:19:41.092333,2023-07-07 17:19:41.144159,0 days 00:00:00.051826,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,75,COMPLETE
5295,5295,-0.5497737556561086,-0.5862068965517241,-0.036433140895615446,11.0,2023-07-07 20:15:32.923116,2023-07-07 20:15:32.977933,0 days 00:00:00.054817,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,95,105,COMPLETE
4128,4128,-0.5497737556561086,-0.5646551724137931,-0.014881416757684507,6.0,2023-07-07 17:53:53.573994,2023-07-07 17:53:53.626816,0 days 00:00:00.052822,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,95,82,COMPLETE
5662,5662,-0.5497737556561086,-0.4956896551724138,-0.05408410048369483,3.0,2023-07-07 21:07:17.657359,2023-07-07 21:07:17.709215,0 days 00:00:00.051856,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,95,112,COMPLETE
4024,4024,-0.5497737556561086,-0.5818965517241379,-0.03212279606802926,9.0,2023-07-07 17:42:58.387113,2023-07-07 17:42:58.440933,0 days 00:00:00.053820,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,95,80,COMPLETE
5393,5393,-0.5497737556561086,-0.5603448275862069,-0.010571071930098208,9.0,2023-07-07 20:29:00.730555,2023-07-07 20:29:00.784375,0 days 00:00:00.053820,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,95,107,COMPLETE
314,314,-0.5497237569060773,-0.603448275862069,-0.05372451895599162,17.0,2023-07-07 14:38:35.912816,2023-07-07 14:38:35.940723,0 days 00:00:00.027907,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,43,6,COMPLETE
2758,2758,-0.5496794871794872,-0.5991379310344828,-0.04945844385499554,8.0,2023-07-07 15:50:01.835307,2023-07-07 15:50:01.891120,0 days 00:00:00.055813,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,59,55,COMPLETE
63,63,-0.5495750708215298,-0.5431034482758621,-0.006471622545667688,17.0,2023-07-07 14:37:49.545068,2023-07-07 14:37:49.569008,0 days 00:00:00.023940,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,46,1,COMPLETE
39,39,-0.5495750708215298,-0.5646551724137931,-0.015080101592263362,14.0,2023-07-07 14:37:47.824038,2023-07-07 14:37:47.851944,0 days 00:00:00.027906,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,46,0,COMPLETE
1402,1402,-0.5489864864864865,-0.5862068965517241,-0.037220410065237575,7.0,2023-07-07 14:52:02.936115,2023-07-07 14:52:02.965242,0 days 00:00:00.029127,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,64,28,COMPLETE
671,671,-0.5489864864864865,-0.5603448275862069,-0.011358341099720337,10.0,2023-07-07 14:41:11.587159,2023-07-07 14:41:11.616975,0 days 00:00:00.029816,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,64,13,COMPLETE
689,689,-0.5489864864864865,-0.5646551724137931,-0.015668685927306636,8.0,2023-07-07 14:41:22.148080,2023-07-07 14:41:22.174990,0 days 00:00:00.026910,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,64,13,COMPLETE
971,971,-0.5489864864864865,-0.5948275862068966,-0.04584109972041006,9.0,2023-07-07 14:44:42.867979,2023-07-07 14:44:42.898093,0 days 00:00:00.030114,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,64,19,COMPLETE
1426,1426,-0.5489864864864865,-0.5474137931034483,-0.0015726933830382261,5.0,2023-07-07 14:52:43.448027,2023-07-07 14:52:43.476828,0 days 00:00:00.028801,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,28,COMPLETE
564,564,-0.5489864864864865,-0.5862068965517241,-0.037220410065237575,6.0,2023-07-07 14:40:13.425825,2023-07-07 14:40:13.455725,0 days 00:00:00.029900,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,64,11,COMPLETE
1620,1620,-0.5489864864864865,-0.5948275862068966,-0.04584109972041006,12.0,2023-07-07 14:57:02.191921,2023-07-07 14:57:02.219827,0 days 00:00:00.027906,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,64,32,COMPLETE
2030,2030,-0.5489864864864865,-0.5603448275862069,-0.011358341099720337,3.0,2023-07-07 15:07:27.840065,2023-07-07 15:07:27.866975,0 days 00:00:00.026910,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,40,COMPLETE
1292,1292,-0.5489864864864865,-0.5905172413793104,-0.04153075489282387,9.0,2023-07-07 14:49:54.533691,2023-07-07 14:49:54.563879,0 days 00:00:00.030188,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,64,25,COMPLETE
98,98,-0.5489864864864865,-0.5732758620689655,-0.02428937558247901,12.0,2023-07-07 14:37:52.894236,2023-07-07 14:37:52.918939,0 days 00:00:00.024703,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,64,1,COMPLETE
4573,4573,-0.5489795918367347,-0.4956896551724138,-0.053289936664320914,6.0,2023-07-07 18:43:40.481462,2023-07-07 18:43:40.532292,0 days 00:00:00.050830,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,84,91,COMPLETE
3125,3125,-0.5489795918367347,-0.5818965517241379,-0.032916959887403174,8.0,2023-07-07 16:18:45.906804,2023-07-07 16:18:45.960624,0 days 00:00:00.053820,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,84,62,COMPLETE
