,number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_df_entry,params_t,params_t_exit,system_attrs_nsga2:generation,state
1139,1139,0.05900656376047687,-0.4993901376546437,-5739.0,2023-06-07 14:42:46.781750,2023-06-07 14:42:47.153981,0 days 00:00:00.372231,75,13,30,22,COMPLETE
1857,1857,0.06177470993126262,-0.4685466058017965,-135820.0,2023-06-07 14:54:39.577593,2023-06-07 14:54:40.223473,0 days 00:00:00.645880,1,14,11,37,COMPLETE
1006,1006,0.06327299946103966,-0.5543478260869565,-276.0,2023-06-07 14:41:03.831695,2023-06-07 14:41:04.210346,0 days 00:00:00.378651,90,2,7,20,COMPLETE
899,899,0.06327299946103966,-0.5543478260869565,-276.0,2023-06-07 14:39:38.461461,2023-06-07 14:39:38.912437,0 days 00:00:00.450976,90,2,7,17,COMPLETE
1033,1033,0.06327299946103966,-0.5543478260869565,-276.0,2023-06-07 14:41:24.155099,2023-06-07 14:41:24.515698,0 days 00:00:00.360599,90,2,7,20,COMPLETE
1170,1170,0.06327299946103966,-0.5543478260869565,-276.0,2023-06-07 14:43:11.257020,2023-06-07 14:43:11.619768,0 days 00:00:00.362748,90,2,7,23,COMPLETE
2311,2311,0.06327299946103966,-0.5543478260869565,-276.0,2023-06-07 15:04:28.714595,2023-06-07 15:04:29.280822,0 days 00:00:00.566227,90,2,7,46,COMPLETE
743,743,0.06426009108620935,-0.49925162148677865,-6013.0,2023-06-07 14:37:46.307612,2023-06-07 14:37:46.748893,0 days 00:00:00.441281,74,13,30,14,COMPLETE
3171,3171,0.06830608902417273,-0.47838700817139324,-116504.0,2023-06-07 15:25:11.463643,2023-06-07 15:25:11.872113,0 days 00:00:00.408470,3,12,16,63,COMPLETE
3382,3382,0.06919388957640125,-0.4907161803713528,-7163.0,2023-06-07 15:31:19.424895,2023-06-07 15:31:19.881205,0 days 00:00:00.456310,81,18,30,67,COMPLETE
1453,1453,0.06919388957640125,-0.4907161803713528,-7163.0,2023-06-07 14:47:29.805503,2023-06-07 14:47:30.179733,0 days 00:00:00.374230,81,18,30,29,COMPLETE
1916,1916,0.07057200595869398,-0.5090696313633704,-3418.0,2023-06-07 14:55:49.929445,2023-06-07 14:55:50.449467,0 days 00:00:00.520022,56,5,17,38,COMPLETE
1450,1450,0.07116668808334627,-0.4737180329784282,-68469.0,2023-06-07 14:47:27.168605,2023-06-07 14:47:27.599111,0 days 00:00:00.430506,3,1,4,29,COMPLETE
3344,3344,0.07116668808334627,-0.4737180329784282,-68469.0,2023-06-07 15:30:13.076314,2023-06-07 15:30:13.634513,0 days 00:00:00.558199,3,1,4,66,COMPLETE
1271,1271,0.07116668808334627,-0.4737180329784282,-68469.0,2023-06-07 14:44:42.639642,2023-06-07 14:44:43.079579,0 days 00:00:00.439937,3,1,4,25,COMPLETE
1788,1788,0.07116668808334627,-0.4737180329784282,-68469.0,2023-06-07 14:53:22.077920,2023-06-07 14:53:22.492888,0 days 00:00:00.414968,3,1,4,35,COMPLETE
231,231,0.07232298946516803,-0.49476773331105356,-95752.0,2023-06-07 14:33:18.965019,2023-06-07 14:33:19.301614,0 days 00:00:00.336595,2,1,20,4,COMPLETE
1538,1538,0.07241374262986529,-0.5065274151436031,-2298.0,2023-06-07 14:48:51.848691,2023-06-07 14:48:52.218686,0 days 00:00:00.369995,58,4,17,30,COMPLETE
2348,2348,0.07407418508067891,-0.5063257065948856,-7430.0,2023-06-07 15:05:18.555643,2023-06-07 15:05:18.988278,0 days 00:00:00.432635,17,1,25,46,COMPLETE
1651,1651,0.07702080279292538,-0.4719955489614243,-5392.0,2023-06-07 14:50:58.538497,2023-06-07 14:50:58.933107,0 days 00:00:00.394610,87,16,3,33,COMPLETE
563,563,0.07797705905848341,-0.5090372556252305,-2711.0,2023-06-07 14:35:55.966039,2023-06-07 14:35:56.294999,0 days 00:00:00.328960,62,5,29,11,COMPLETE
1487,1487,0.07975301932200964,-0.48700939745715865,-7236.0,2023-06-07 14:48:01.915841,2023-06-07 14:48:02.418750,0 days 00:00:00.502909,83,19,30,29,COMPLETE
2027,2027,0.08031290019131411,-0.49927505330490407,-11725.0,2023-06-07 14:58:10.856840,2023-06-07 14:58:11.273112,0 days 00:00:00.416272,40,8,13,40,COMPLETE
65,65,0.08121945548127907,-0.4815255046579907,-98433.0,2023-06-07 14:32:13.867254,2023-06-07 14:32:14.227804,0 days 00:00:00.360550,5,11,17,1,COMPLETE
2811,2811,0.08305856188283964,-0.49889060714045586,-14873.0,2023-06-07 15:15:42.925889,2023-06-07 15:15:43.333930,0 days 00:00:00.408041,35,8,17,56,COMPLETE
748,748,0.0834856520580141,-0.4689454744519671,-124217.0,2023-06-07 14:37:49.618846,2023-06-07 14:37:49.991845,0 days 00:00:00.372999,2,8,9,14,COMPLETE
403,403,0.08377643244037672,-0.4852660900161267,-6821.0,2023-06-07 14:34:33.555000,2023-06-07 14:34:33.877627,0 days 00:00:00.322627,90,21,30,8,COMPLETE
2005,2005,0.08427161998479124,-0.479897745758773,-4303.0,2023-06-07 14:57:43.247008,2023-06-07 14:57:43.749008,0 days 00:00:00.502000,95,16,4,40,COMPLETE
917,917,0.08479503889462656,-0.49289548468582256,-6334.0,2023-06-07 14:39:51.702264,2023-06-07 14:39:52.191081,0 days 00:00:00.488817,83,17,27,18,COMPLETE
3386,3386,0.08540884842453206,-0.46834596041356386,-92658.0,2023-06-07 15:31:25.920847,2023-06-07 15:31:26.330735,0 days 00:00:00.409888,7,12,8,67,COMPLETE
439,439,0.08636484490961076,-0.5015979421622886,-12829.0,2023-06-07 14:34:50.316254,2023-06-07 14:34:50.640767,0 days 00:00:00.324513,44,10,15,8,COMPLETE
1496,1496,0.0887348642081251,-0.5126514131897711,-7430.0,2023-06-07 14:48:11.681249,2023-06-07 14:48:12.088848,0 days 00:00:00.407599,17,1,30,29,COMPLETE
2284,2284,0.09132368541676818,-0.4792048129741041,-3823.0,2023-06-07 15:03:51.370456,2023-06-07 15:03:51.775455,0 days 00:00:00.404999,97,15,5,45,COMPLETE
3175,3175,0.0917070548005787,-0.5688405797101449,-276.0,2023-06-07 15:25:17.403555,2023-06-07 15:25:17.829449,0 days 00:00:00.425894,90,2,8,63,COMPLETE
3455,3455,0.0917070548005787,-0.5688405797101449,-276.0,2023-06-07 15:33:23.898287,2023-06-07 15:33:24.327286,0 days 00:00:00.428999,90,2,8,69,COMPLETE
1807,1807,0.0917070548005787,-0.5688405797101449,-276.0,2023-06-07 14:53:42.710643,2023-06-07 14:53:43.135945,0 days 00:00:00.425302,90,2,8,36,COMPLETE
2436,2436,0.0917070548005787,-0.5688405797101449,-276.0,2023-06-07 15:07:09.140146,2023-06-07 15:07:09.565389,0 days 00:00:00.425243,90,2,8,48,COMPLETE
1554,1554,0.0917070548005787,-0.5688405797101449,-276.0,2023-06-07 14:49:07.373787,2023-06-07 14:49:07.788561,0 days 00:00:00.414774,90,2,8,31,COMPLETE
1052,1052,0.0917070548005787,-0.5688405797101449,-276.0,2023-06-07 14:41:38.439970,2023-06-07 14:41:38.852521,0 days 00:00:00.412551,90,2,8,21,COMPLETE
3322,3322,0.09205038388945903,-0.5013510194055515,-16284.0,2023-06-07 15:29:30.981460,2023-06-07 15:29:31.441450,0 days 00:00:00.459990,36,9,18,66,COMPLETE
2365,2365,0.09659979639590614,-0.4654174474286904,-96060.0,2023-06-07 15:05:39.798024,2023-06-07 15:05:40.208752,0 days 00:00:00.410728,6,11,7,47,COMPLETE
469,469,0.09904480900556195,-0.4823017107309487,-96450.0,2023-06-07 14:35:05.686663,2023-06-07 14:35:06.040927,0 days 00:00:00.354264,5,10,17,9,COMPLETE
259,259,0.09932783627921338,-0.5205555555555555,-1800.0,2023-06-07 14:33:30.451592,2023-06-07 14:33:30.781667,0 days 00:00:00.330075,44,2,30,5,COMPLETE
3198,3198,0.10122213864526716,-0.5179968701095462,-639.0,2023-06-07 15:25:55.971726,2023-06-07 15:25:56.476476,0 days 00:00:00.504750,65,2,20,63,COMPLETE
3415,3415,0.10365188149262619,-0.5141383755908896,-11635.0,2023-06-07 15:32:13.735902,2023-06-07 15:32:14.140237,0 days 00:00:00.404335,13,1,30,68,COMPLETE
9,9,0.10372435096435062,-0.49809026424506975,-12829.0,2023-06-07 14:31:53.241015,2023-06-07 14:31:53.583835,0 days 00:00:00.342820,44,10,14,0,COMPLETE
